iter	Passed	Remaining
1016	29859	28861
1017	29885	28829
1018	29916	28800
1019	29948	28773
1020	29977	28744
1021	30007	28715
1022	30032	28682
1023	30058	28649
1024	30092	28624
1025	30119	28593
1026	30146	28561
1027	30176	28533
1028	30201	28498
1029	30230	28469
1030	30256	28437
1031	30284	28405
1032	30311	28374
1033	30348	28352
1034	30376	28322
1035	30403	28290
1036	30430	28259
1037	30458	28228
1038	30482	28193
1039	30508	28161
1040	30532	28127
1041	30564	28101
1042	30597	28074
1043	30625	28044
1044	30654	28014
1045	30682	27984
1046	30709	27952
1047	30736	27921
1048	30762	27888
1049	30789	27856
1050	30816	27825
1051	30843	27794
1052	30881	27772
1053	30907	27740
1054	30938	27712
1055	30965	27681
1056	30989	27646
1057	31016	27615
1058	31044	27585
1059	31079	27560
1060	31106	27529
1061	31131	27496
1062	31159	27465
1063	31190	27438
1064	31220	27409
1065	31249	27380
1066	31277	27349
1067	31308	27321
1068	31338	27292
1069	31363	27259
1070	31390	27228
1071	31415	27195
1072	31443	27165
1073	31471	27134
1074	31498	27103
1075	31521	27068
1076	31547	27036
1077	31573	27004
1078	31601	26974
1079	31627	26942
1080	31658	26913
1081	31687	26884
1082	31715	26853
1083	31740	26821
1084	31766	26788
1085	31793	26758
1086	31820	26727
1087	31850	26697
1088	31878	26667
1089	31908	26639
1090	31939	26611
1091	31968	26581
1092	31994	26549
1093	32022	26519
1094	32046	26486
1095	32074	26455
1096	32102	26425
1097	32128	26393
1098	32154	26361
1099	32180	26329
1100	32205	26296
1101	32232	26265
1102	32260	26235
1103	32293	26209
1104	32319	26177
1105	32355	26153
1106	32382	26122
1107	32411	26093
1108	32440	26063
1109	32468	26033
1110	32496	26002
1111	32525	25973
1112	32554	25944
1113	32582	25914
1114	32612	25885
1115	32638	25853
1116	32668	25824
1117	32696	25794
1118	32723	25763
1119	32754	25735
1120	32782	25705
1121	32817	25680
1122	32852	25655
1123	32882	25627
1124	32912	25598
1125	32944	25571
1126	32982	25548
1127	33011	25519
1128	33043	25492
1129	33081	25470
1130	33117	25445
1131	33144	25414
1132	33206	25410
1133	33251	25393
1134	33289	25370
1135	33319	25341
1136	33348	25311
1137	33375	25280
1138	33411	25256
1139	33442	25228
1140	33477	25203
1141	33505	25173
1142	33529	25140
1143	33555	25108
1144	33588	25081
1145	33614	25049
1146	33642	25019
1147	33676	24993
1148	33704	24962
1149	33731	24931
1150	33763	24904
1151	33794	24876
1152	33824	24847
1153	33850	24816
1154	33881	24788
1155	33911	24758
1156	33941	24729
1157	33968	24699
1158	33994	24666
1159	34020	24635
1160	34050	24606
1161	34077	24575
1162	34103	24544
1163	34131	24513
1164	34161	24484
1165	34188	24454
1166	34218	24424
1167	34243	24392
1168	34274	24364
1169	34299	24332
1170	34328	24302
1171	34355	24271
1172	34380	24239
1173	34410	24210
1174	34440	24181
1175	34470	24152
1176	34501	24124
1177	34531	24095
1178	34563	24068
1179	34595	24040
1180	34626	24012
1181	34656	23983
1182	34683	23952
1183	34710	23921
1184	34734	23889
1185	34764	23860
1186	34796	23833
1187	34825	23802
1188	34852	23772
1189	34879	23741
1190	34906	23710
1191	34938	23683
1192	34968	23654
1193	34999	23626
1194	35029	23597
1195	35056	23566
1196	35085	23536
1197	35115	23508
1198	35143	23477
1199	35171	23447
1200	35202	23419
1201	35229	23388
1202	35259	23359
1203	35286	23329
1204	35315	23299
1205	35344	23269
1206	35371	23239
1207	35399	23208
1208	35428	23179
1209	35456	23149
1210	35484	23118
1211	35508	23086
1212	35537	23057
1213	35567	23027
1214	35593	22996
1215	35622	22967
1216	35654	22939
1217	35680	22907
1218	35708	22877
1219	35735	22847
1220	35764	22817
1221	35791	22787
1222	35819	22756
1223	35848	22727
1224	35875	22696
1225	35902	22666
1226	35931	22636
1227	35957	22605
1228	35985	22575
1229	36013	22544
1230	36042	22515
1231	36070	22485
1232	36097	22454
1233	36125	22425
1234	36157	22397
1235	36188	22368
1236	36217	22339
1237	36253	22314
1238	36282	22284
1239	36311	22255
1240	36339	22225
1241	36366	22194
1242	36396	22166
1243	36427	22137
1244	36453	22106
1245	36483	22077
1246	36510	22047
1247	36540	22018
1248	36567	21987
1249	36597	21958
1250	36622	21926
1251	36652	21897
1252	36678	21866
1253	36705	21835
1254	36733	21805
1255	36758	21774
1256	36786	21743
1257	36819	21716
1258	36853	21690
1259	36889	21665
1260	36922	21638
1261	36953	21609
1262	36989	21584
1263	37018	21555
1264	37048	21525
1265	37080	21498
1266	37107	21467
1267	37137	21439
1268	37166	21409
1269	37191	21378
1270	37220	21348
1271	37249	21318
1272	37279	21290
1273	37308	21260
1274	37338	21231
1275	37366	21201
1276	37395	21172
1277	37425	21143
1278	37453	21113
1279	37482	21083
1280	37507	21051
1281	37537	21023
1282	37566	20993
1283	37597	20965
1284	37624	20935
1285	37655	20906
1286	37682	20876
1287	37711	20846
1288	37737	20815
1289	37767	20786
1290	37801	20760
1291	37830	20730
1292	37860	20701
1293	37889	20672
1294	37918	20642
1295	37949	20614
1296	37973	20582
1297	38005	20554
1298	38031	20523
1299	38058	20493
1300	38086	20463
1301	38111	20431
1302	38138	20400
1303	38166	20370
1304	38194	20340
1305	38226	20313
1306	38255	20283
1307	38285	20254
1308	38312	20224
1309	38342	20195
1310	38369	20165
1311	38400	20136
1312	38428	20107
1313	38456	20077
1314	38481	20045
1315	38507	20014
1316	38537	19985
1317	38566	19956
1318	38595	19926
1319	38625	19898
1320	38654	19868
1321	38681	19838
1322	38730	19818
1323	38759	19789
1324	38795	19763
1325	38827	19735
1326	38858	19707
1327	38890	19679
1328	38918	19649
1329	38947	19620
1330	38974	19589
1331	39002	19559
1332	39029	19529
1333	39059	19500
1334	39085	19469
1335	39118	19442
1336	39148	19413
1337	39180	19385
1338	39212	19357
1339	39244	19329
1340	39275	19300
1341	39311	19275
1342	39344	19247
1343	39376	19219
1344	39409	19192
1345	39440	19163
1346	39467	19133
1347	39497	19103
1348	39526	19074
1349	39558	19046
1350	39585	19016
1351	39622	18990
1352	39664	18967
1353	39742	18961
1354	39777	18934
1355	39807	18905
1356	39846	18880
1357	39887	18856
1358	39948	18842
1359	39983	18815
1360	40020	18789
1361	40076	18772
1362	40107	18744
1363	40171	18730
1364	40201	18701
1365	40236	18675
1366	40273	18649
1367	40310	18622
1368	40356	18601
1369	40394	18575
1370	40427	18547
1371	40462	18520
1372	40492	18491
1373	40529	18465
1374	40559	18436
1375	40596	18409
1376	40626	18380
1377	40658	18352
1378	40692	18324
1379	40724	18296
1380	40756	18268
1381	40811	18249
1382	40860	18229
1383	40905	18206
1384	40939	18178
1385	40972	18150
1386	41004	18122
1387	41037	18094
1388	41071	18066
1389	41104	18038
1390	41137	18010
1391	41173	17983
1392	41205	17955
1393	41237	17926
1394	41269	17898
1395	41299	17868
1396	41331	17840
1397	41379	17818
1398	41415	17791
1399	41448	17763
1400	41481	17735
1401	41514	17707
1402	41546	17678
1403	41577	17649
1404	41607	17620
1405	41638	17591
1406	41669	17562
1407	41696	17531
1408	41726	17502
1409	41774	17480
1410	41803	17450
1411	41841	17424
1412	41878	17397
1413	41913	17370
1414	41948	17342
1415	41979	17313
1416	42010	17284
1417	42047	17257
1418	42081	17230
1419	42110	17200
1420	42142	17171
1421	42173	17142
1422	42207	17114
1423	42238	17085
1424	42272	17057
1425	42305	17028
1426	42337	17000
1427	42365	16969
1428	42397	16941
1429	42426	16911
1430	42458	16882
1431	42489	16853
1432	42521	16824
1433	42554	16796
1434	42592	16769
1435	42626	16742
1436	42661	16714
1437	42691	16684
1438	42726	16657
1439	42759	16628
1440	42788	16598
1441	42824	16571
1442	42860	16544
1443	42892	16515
1444	42924	16486
1445	42959	16458
1446	42987	16428
1447	43015	16398
1448	43050	16370
1449	43079	16340
1450	43112	16311
1451	43141	16282
1452	43178	16254
1453	43207	16225
1454	43241	16197
1455	43274	16168
1456	43305	16139
1457	43339	16111
1458	43370	16082
1459	43401	16052
1460	43430	16022
1461	43466	15995
1462	43501	15967
1463	43533	15938
1464	43591	15918
1465	43622	15889
1466	43655	15861
1467	43687	15832
1468	43717	15802
1469	43748	15773
1470	43781	15744
1471	43818	15717
1472	43855	15690
1473	43888	15661
1474	43923	15633
1475	43953	15603
1476	43985	15575
1477	44018	15546
1478	44048	15516
1479	44081	15488
1480	44113	15459
1481	44143	15429
1482	44179	15401
1483	44212	15372
1484	44243	15343
1485	44272	15313
1486	44302	15283
1487	44331	15253
1488	44360	15223
1489	44392	15194
1490	44424	15165
1491	44453	15135
1492	44483	15105
1493	44516	15077
1494	44549	15048
1495	44576	15017
1496	44602	14986
1497	44633	14957
1498	44679	14932
1499	44708	14902
1500	44738	14873
1501	44769	14843
1502	44801	14814
1503	44831	14784
1504	44870	14758
1505	44903	14729
1506	44932	14699
1507	44963	14669
1508	44993	14640
1509	45032	14613
1510	45064	14584
1511	45092	14553
1512	45120	14523
1513	45154	14494
1514	45187	14466
1515	45222	14437
1516	45259	14410
1517	45294	14382
1518	45332	14354
1519	45363	14325
1520	45402	14298
1521	45445	14272
1522	45473	14242
1523	45528	14220
1524	45562	14191
1525	45600	14164
1526	45647	14139
1527	45686	14112
1528	45737	14089
1529	45771	14060
1530	45810	14033
1531	45843	14004
1532	45874	13974
1533	45916	13948
1534	45951	13920
1535	45981	13890
1536	46010	13860
1537	46045	13831
1538	46083	13804
1539	46120	13776
1540	46152	13746
1541	46183	13717
1542	46214	13687
1543	46246	13658
1544	46278	13629
1545	46310	13599
1546	46341	13570
1547	46370	13539
1548	46404	13510
1549	46442	13483
1550	46481	13456
1551	46512	13426
1552	46547	13397
1553	46581	13369
1554	46612	13339
1555	46642	13309
1556	46671	13279
1557	46705	13250
1558	46735	13220
1559	46766	13190
1560	46798	13161
1561	46829	13131
1562	46855	13100
1563	46891	13072
1564	46923	13042
1565	46954	13012
1566	46986	12983
1567	47017	12953
1568	47046	12923
1569	47075	12893
1570	47105	12863
1571	47135	12833
1572	47167	12803
1573	47194	12773
1574	47228	12744
1575	47262	12715
1576	47297	12686
1577	47326	12656
1578	47358	12626
1579	47385	12596
1580	47416	12566
1581	47444	12535
1582	47476	12506
1583	47505	12476
1584	47533	12445
1585	47567	12416
1586	47600	12387
1587	47635	12358
1588	47667	12329
1589	47697	12299
1590	47734	12271
1591	47766	12241
1592	47801	12212
1593	47834	12183
1594	47865	12153
1595	47895	12123
1596	47926	12094
1597	47955	12063
1598	47983	12033
1599	48014	12003
1600	48047	11974
1601	48078	11944
1602	48111	11915
1603	48146	11886
1604	48175	11856
1605	48210	11827
1606	48244	11798
1607	48275	11768
1608	48304	11738
1609	48334	11708
1610	48365	11678
1611	48399	11649
1612	48435	11620
1613	48476	11593
1614	48509	11564
1615	48541	11534
1616	48571	11504
1617	48603	11475
1618	48635	11445
1619	48666	11415
1620	48697	11385
1621	48729	11356
1622	48760	11326
1623	48793	11296
1624	48824	11267
1625	48853	11236
1626	48890	11208
1627	48920	11178
1628	48950	11148
1629	48981	11118
1630	49011	11088
1631	49041	11058
1632	49072	11028
1633	49106	10999
1634	49136	10969
1635	49169	10939
1636	49199	10909
1637	49228	10879
1638	49259	10849
1639	49290	10819
1640	49322	10790
1641	49351	10759
1642	49383	10730
1643	49409	10699
1644	49442	10670
1645	49476	10640
1646	49508	10611
1647	49539	10581
1648	49568	10550
1649	49597	10520
1650	49625	10490
1651	49656	10460
1652	49686	10430
1653	49716	10400
1654	49746	10370
1655	49777	10340
1656	49806	10309
1657	49837	10280
1658	49870	10250
1659	49900	10220
1660	49945	10193
1661	49982	10164
1662	50038	10139
1663	50068	10110
1664	50095	10079
