iter	RMSE
1202	0.5060558937
1203	0.5060492904
1204	0.5060450178
1205	0.5060405759
1206	0.5060380089
1207	0.5060360062
1208	0.5060287464
1209	0.5060260569
1210	0.5060237276
1211	0.5060196846
1212	0.5060173239
1213	0.5060114227
1214	0.5060070681
1215	0.5060025983
1216	0.5059978469
1217	0.5059960863
1218	0.5059935773
1219	0.5059899565
1220	0.5059843869
1221	0.5059794889
1222	0.5059765357
1223	0.5059734618
1224	0.5059668071
1225	0.5059628857
1226	0.5059560146
1227	0.5059503871
1228	0.5059449835
1229	0.5059412134
1230	0.5059386649
1231	0.5059342423
1232	0.5059300969
1233	0.5059264894
1234	0.5059237643
1235	0.5059204155
1236	0.5059168208
1237	0.5059136948
1238	0.5059084885
1239	0.5059042289
1240	0.5058976545
1241	0.5058931911
1242	0.5058895718
1243	0.5058857229
1244	0.5058792284
1245	0.5058734119
1246	0.5058673569
1247	0.5058639011
1248	0.5058602595
1249	0.50585714
1250	0.5058504916
1251	0.5058474061
1252	0.5058437935
1253	0.5058410908
1254	0.5058376608
1255	0.5058338741
1256	0.5058293761
1257	0.5058243451
1258	0.5058222777
1259	0.5058172786
1260	0.5058133524
1261	0.5058084832
1262	0.5058056313
1263	0.5058008813
1264	0.5057959406
1265	0.5057919167
1266	0.5057891617
1267	0.5057856892
1268	0.5057835406
1269	0.5057797628
1270	0.5057767999
1271	0.5057741051
1272	0.5057708436
1273	0.5057647755
1274	0.5057594768
1275	0.5057551529
1276	0.5057506584
1277	0.5057476003
1278	0.5057433065
1279	0.505740081
1280	0.5057365015
1281	0.5057314056
1282	0.5057270745
1283	0.5057240525
1284	0.5057208214
1285	0.5057159144
1286	0.5057130462
1287	0.5057105887
1288	0.5057083585
1289	0.5057051037
1290	0.5057022468
1291	0.5056987873
1292	0.505693339
1293	0.5056907255
1294	0.5056863203
1295	0.505681424
1296	0.505675485
1297	0.5056697511
1298	0.5056653699
1299	0.5056606852
1300	0.5056580416
1301	0.5056546924
1302	0.5056492562
1303	0.505647046
1304	0.5056427035
1305	0.5056380873
1306	0.5056344245
1307	0.5056310573
1308	0.5056276097
1309	0.5056213565
1310	0.5056165521
1311	0.5056123025
1312	0.5056073068
1313	0.5056034355
1314	0.5056015672
1315	0.5055980063
1316	0.50559464
1317	0.5055885115
1318	0.5055847495
1319	0.505580144
1320	0.5055773548
1321	0.5055734316
1322	0.5055688215
1323	0.5055635531
1324	0.5055572659
1325	0.5055527515
1326	0.5055478077
1327	0.5055452937
1328	0.5055411579
1329	0.505536492
1330	0.5055315173
1331	0.5055271067
1332	0.5055229348
1333	0.5055200276
1334	0.5055163649
1335	0.5055102397
1336	0.5055053553
1337	0.5055010957
1338	0.5054987503
1339	0.5054944292
1340	0.5054905821
1341	0.5054880299
1342	0.505485649
1343	0.5054818076
1344	0.5054762493
1345	0.5054699773
1346	0.5054636624
1347	0.5054602758
1348	0.5054540708
